CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Customer Type
1,Male,19,15,39,4,Careful Customers
2,Male,21,15,81,0,Premium Customers
3,Female,20,16,6,4,Careful Customers
4,Female,23,16,77,0,Premium Customers
5,Female,31,17,40,4,Careful Customers
6,Female,22,17,76,0,Premium Customers
7,Female,35,18,6,4,Careful Customers
8,Female,23,18,94,0,Premium Customers
9,Male,64,19,3,4,Careful Customers
10,Female,30,19,72,0,Premium Customers
11,Male,67,19,14,4,Careful Customers
12,Female,35,19,99,0,Premium Customers
13,Female,58,20,15,4,Careful Customers
14,Female,24,20,77,0,Premium Customers
15,Male,37,20,13,4,Careful Customers
16,Male,22,20,79,0,Premium Customers
17,Female,35,21,35,4,Careful Customers
18,Male,20,21,66,0,Premium Customers
19,Male,52,23,29,4,Careful Customers
20,Female,35,23,98,0,Premium Customers
21,Male,35,24,35,4,Careful Customers
22,Male,25,24,73,0,Premium Customers
23,Female,46,25,5,4,Careful Customers
24,Male,31,25,73,0,Premium Customers
25,Female,54,28,14,4,Careful Customers
26,Male,29,28,82,0,Premium Customers
27,Female,45,28,32,4,Careful Customers
28,Male,35,28,61,0,Premium Customers
29,Female,40,29,31,4,Careful Customers
30,Female,23,29,87,0,Premium Customers
31,Male,60,30,4,4,Careful Customers
32,Female,21,30,73,0,Premium Customers
33,Male,53,33,4,4,Careful Customers
34,Male,18,33,92,0,Premium Customers
35,Female,49,33,14,4,Careful Customers
36,Female,21,33,81,0,Premium Customers
37,Female,42,34,17,4,Careful Customers
38,Female,30,34,73,0,Premium Customers
39,Female,36,37,26,4,Careful Customers
40,Female,20,37,75,0,Premium Customers
41,Female,65,38,35,4,Careful Customers
42,Male,24,38,92,0,Premium Customers
43,Male,48,39,36,4,Careful Customers
44,Female,31,39,61,1,Budget Customers
45,Female,49,39,28,4,Careful Customers
46,Female,24,39,65,0,Premium Customers
47,Female,50,40,55,1,Budget Customers
48,Female,27,40,47,1,Budget Customers
49,Female,29,40,42,1,Budget Customers
50,Female,31,40,42,1,Budget Customers
51,Female,49,42,52,1,Budget Customers
52,Male,33,42,60,1,Budget Customers
53,Female,31,43,54,1,Budget Customers
54,Male,59,43,60,1,Budget Customers
55,Female,50,43,45,1,Budget Customers
56,Male,47,43,41,1,Budget Customers
57,Female,51,44,50,1,Budget Customers
58,Male,69,44,46,1,Budget Customers
59,Female,27,46,51,1,Budget Customers
60,Male,53,46,46,1,Budget Customers
61,Male,70,46,56,1,Budget Customers
62,Male,19,46,55,1,Budget Customers
63,Female,67,47,52,1,Budget Customers
64,Female,54,47,59,1,Budget Customers
65,Male,63,48,51,1,Budget Customers
66,Male,18,48,59,1,Budget Customers
67,Female,43,48,50,1,Budget Customers
68,Female,68,48,48,1,Budget Customers
69,Male,19,48,59,1,Budget Customers
70,Female,32,48,47,1,Budget Customers
71,Male,70,49,55,1,Budget Customers
72,Female,47,49,42,1,Budget Customers
73,Female,60,50,49,1,Budget Customers
74,Female,60,50,56,1,Budget Customers
75,Male,59,54,47,1,Budget Customers
76,Male,26,54,54,1,Budget Customers
77,Female,45,54,53,1,Budget Customers
78,Male,40,54,48,1,Budget Customers
79,Female,23,54,52,1,Budget Customers
80,Female,49,54,42,1,Budget Customers
81,Male,57,54,51,1,Budget Customers
82,Male,38,54,55,1,Budget Customers
83,Male,67,54,41,1,Budget Customers
84,Female,46,54,44,1,Budget Customers
85,Female,21,54,57,1,Budget Customers
86,Male,48,54,46,1,Budget Customers
87,Female,55,57,58,1,Budget Customers
88,Female,22,57,55,1,Budget Customers
89,Female,34,58,60,1,Budget Customers
90,Female,50,58,46,1,Budget Customers
91,Female,68,59,55,1,Budget Customers
92,Male,18,59,41,1,Budget Customers
93,Male,48,60,49,1,Budget Customers
94,Female,40,60,40,1,Budget Customers
95,Female,32,60,42,1,Budget Customers
96,Male,24,60,52,1,Budget Customers
97,Female,47,60,47,1,Budget Customers
98,Female,27,60,50,1,Budget Customers
99,Male,48,61,42,1,Budget Customers
100,Male,20,61,49,1,Budget Customers
101,Female,23,62,41,1,Budget Customers
102,Female,49,62,48,1,Budget Customers
103,Male,67,62,59,1,Budget Customers
104,Male,26,62,55,1,Budget Customers
105,Male,49,62,56,1,Budget Customers
106,Female,21,62,42,1,Budget Customers
107,Female,66,63,50,1,Budget Customers
108,Male,54,63,46,1,Budget Customers
109,Male,68,63,43,1,Budget Customers
110,Male,66,63,48,1,Budget Customers
111,Male,65,63,52,1,Budget Customers
112,Female,19,63,54,1,Budget Customers
113,Female,38,64,42,1,Budget Customers
114,Male,19,64,46,1,Budget Customers
115,Female,18,65,48,1,Budget Customers
116,Female,19,65,50,1,Budget Customers
117,Female,63,65,43,1,Budget Customers
118,Female,49,65,59,1,Budget Customers
119,Female,51,67,43,1,Budget Customers
120,Female,50,67,57,1,Budget Customers
121,Male,27,67,56,1,Budget Customers
122,Female,38,67,40,1,Budget Customers
123,Female,40,69,58,1,Budget Customers
124,Male,39,69,91,2,Regular Customers
125,Female,23,70,29,3,Impulse Buyers
126,Female,31,70,77,2,Regular Customers
127,Male,43,71,35,1,Budget Customers
128,Male,40,71,95,2,Regular Customers
129,Male,59,71,11,3,Impulse Buyers
130,Male,38,71,75,2,Regular Customers
131,Male,47,71,9,3,Impulse Buyers
132,Male,39,71,75,2,Regular Customers
133,Female,25,72,34,1,Budget Customers
134,Female,31,72,71,2,Regular Customers
135,Male,20,73,5,3,Impulse Buyers
136,Female,29,73,88,2,Regular Customers
137,Female,44,73,7,3,Impulse Buyers
138,Male,32,73,73,2,Regular Customers
139,Male,19,74,10,3,Impulse Buyers
140,Female,35,74,72,2,Regular Customers
141,Female,57,75,5,3,Impulse Buyers
142,Male,32,75,93,2,Regular Customers
143,Female,28,76,40,1,Budget Customers
144,Female,32,76,87,2,Regular Customers
145,Male,25,77,12,3,Impulse Buyers
146,Male,28,77,97,2,Regular Customers
147,Male,48,77,36,3,Impulse Buyers
148,Female,32,77,74,2,Regular Customers
149,Female,34,78,22,3,Impulse Buyers
150,Male,34,78,90,2,Regular Customers
151,Male,43,78,17,3,Impulse Buyers
152,Male,39,78,88,2,Regular Customers
153,Female,44,78,20,3,Impulse Buyers
154,Female,38,78,76,2,Regular Customers
155,Female,47,78,16,3,Impulse Buyers
156,Female,27,78,89,2,Regular Customers
157,Male,37,78,1,3,Impulse Buyers
158,Female,30,78,78,2,Regular Customers
159,Male,34,78,1,3,Impulse Buyers
160,Female,30,78,73,2,Regular Customers
161,Female,56,79,35,3,Impulse Buyers
162,Female,29,79,83,2,Regular Customers
163,Male,19,81,5,3,Impulse Buyers
164,Female,31,81,93,2,Regular Customers
165,Male,50,85,26,3,Impulse Buyers
166,Female,36,85,75,2,Regular Customers
167,Male,42,86,20,3,Impulse Buyers
168,Female,33,86,95,2,Regular Customers
169,Female,36,87,27,3,Impulse Buyers
170,Male,32,87,63,2,Regular Customers
171,Male,40,87,13,3,Impulse Buyers
172,Male,28,87,75,2,Regular Customers
173,Male,36,87,10,3,Impulse Buyers
174,Male,36,87,92,2,Regular Customers
175,Female,52,88,13,3,Impulse Buyers
176,Female,30,88,86,2,Regular Customers
177,Male,58,88,15,3,Impulse Buyers
178,Male,27,88,69,2,Regular Customers
179,Male,59,93,14,3,Impulse Buyers
180,Male,35,93,90,2,Regular Customers
181,Female,37,97,32,3,Impulse Buyers
182,Female,32,97,86,2,Regular Customers
183,Male,46,98,15,3,Impulse Buyers
184,Female,29,98,88,2,Regular Customers
185,Female,41,99,39,3,Impulse Buyers
186,Male,30,99,97,2,Regular Customers
187,Female,54,101,24,3,Impulse Buyers
188,Male,28,101,68,2,Regular Customers
189,Female,41,103,17,3,Impulse Buyers
190,Female,36,103,85,2,Regular Customers
191,Female,34,103,23,3,Impulse Buyers
192,Female,32,103,69,2,Regular Customers
193,Male,33,113,8,3,Impulse Buyers
194,Female,38,113,91,2,Regular Customers
195,Female,47,120,16,3,Impulse Buyers
196,Female,35,120,79,2,Regular Customers
197,Female,45,126,28,3,Impulse Buyers
198,Male,32,126,74,2,Regular Customers
199,Male,32,137,18,3,Impulse Buyers
200,Male,30,137,83,2,Regular Customers
